,toss decision,lighting,series_name,season,team_count_50runs_last15,team1_winp_team2_last15,match_winners,t1_total_runs5,t1_total_wkts5,t1_bat_per5,t1_bowl_perf5,t1_eff_ply5,t1_perf_5,t2_total_runs5,t2_total_wkts5,t2_bat_per5,t2_bowl_perf5,t2_eff_ply5,t2_perf_5,t1_total_runs10,t1_total_wkts10,t1_bat_per10,t1_bowl_perf10,t1_eff_ply10,t1_perf_10,t2_total_runs10,t2_total_wkts10,t2_bat_per10,t2_bowl_perf10,t2_eff_ply10,t2_perf_10,t1_total_runs15,t1_total_wkts15,t1_bat_per15,t1_bowl_perf15,t1_eff_ply15,t1_perf_15,t2_total_runs15,t2_total_wkts15,t2_bat_per15,t2_bowl_perf15,t2_eff_ply15,t2_perf_15,team1_winp_team2_last5,team1_winp_team2_last10,ground5,ground10,ground15,toss_winners,streak_ratio5,streak_ratio10,streak_ratio15
0,1,1,58,2,1.6666666666666667,100.0,1,60.8,3.6,1.0,0.8750414804794184,5.552917382855255,0.3936463665056965,27.4,2.2,1.0,0.2127072669886069,2.742955391249579,1.212707266988607,52.5,3.7,0.9252536566780664,1.0,5.466184528724169,1.968920128899976,44.0,2.2,1.0,0.015539935550012,2.782273160339769,1.015539935550012,46.46666666666668,4.2,0.765868624099354,1.0,5.239477677227702,2.3192217301156703,32.26666666666667,2.533333333333333,1.0,0.0723113079537318,2.7818292747083357,1.072311307953732,100.0,100.0,1.0,1.0,1.0,1,0.5,1.5,2.0
1,1,1,22,0,1.2857142857142858,50.0,0,140.6,4.4,1.0,0.8422452840190031,9.45401582542719,0.4375118736001891,138.0,7.6,1.0,0.7083254175998739,9.528552632204615,0.8541627087999369,164.29999999999998,6.1,1.0,0.4878485396587166,10.120646012627043,0.1170389776402668,138.20000000000002,6.9,1.0,0.9219740149064888,10.393670344238862,1.9219740149064888,177.33333333333334,6.266666666666667,1.0,0.4739006907350469,10.184625606524458,0.0821276364759686,143.86666666666667,6.800000000000001,0.945248242349354,1.0,10.373847559607606,4.863120605873386,50.0,50.0,0.0,0.0,0.0,1,3.0,3.0,1.5
2,1,1,79,3,0.8571428571428571,0.0,0,151.8,5.2,1.0,0.8087080176806233,8.562801582466012,0.3832221490144289,118.4,5.599999999999999,0.7445185673237139,1.0,9.129609408695512,1.744518567323714,167.2,4.9,1.0,0.5614582333930391,8.441536711644346,0.2998336163476833,119.4,5.199999999999999,0.8800665534609267,1.0,8.75612639253546,3.760133106921853,151.4,5.133333333333333,1.0,0.5874305033987257,8.359239632648446,0.3832713292849971,114.06666666666666,4.933333333333333,0.8466914682860012,1.0,8.518012210251937,6.463420139001005,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.6666666666666666
3,0,0,18,3,2.1666666666666665,50.0,0,150.0,8.200000000000001,0.6965072554720247,1.0,10.41376655311755,0.7889149854016893,110.4,8.6,0.4740566763988738,1.0,8.714145687344805,1.4740566763988738,133.4,6.200000000000001,1.0,0.835920586074787,9.894604450907607,1.3141827566386537,141.79999999999998,8.4,0.5619390811204489,1.0,8.883873274761422,4.685817243361346,124.33333333333331,5.533333333333333,1.0,0.9430603867057972,9.356507751762775,1.5539874238314817,130.73333333333335,7.800000000000001,0.5560035931910053,1.0,8.764738009425601,4.668010779573016,50.0,50.0,0.0,0.0,0.0,0,3.0,0.75,0.75
4,1,2,35,3,0.8181818181818182,0.0,1,189.6,7.4,1.0,0.5635588934663651,9.931707794604836,0.5183256916061758,154.39999999999998,4.8,1.0,0.740837154196912,9.08524549127994,3.481674308393824,176.6,7.2,1.0,0.4759532837477153,10.460444020698525,0.9437450994162188,156.6,6.0,1.0,0.6225019602335125,9.305320419391698,4.056254900583781,168.39999999999998,6.866666666666666,1.0,0.3695998049038179,10.485321684687394,0.7526683596364925,146.13333333333335,5.666666666666668,1.0,0.7849518972467165,9.171197153515878,4.462379743116792,0.0,0.0,1.0,1.0,1.0,1,0.75,0.75,0.75
5,1,2,12,2,1.0,50.0,1,113.8,5.2,1.0,0.5107969942716848,8.24245568282775,0.1766266452200733,97.4,5.2,1.0,0.6467467095598534,8.466799880921933,0.0,103.80000000000004,6.1,1.0,0.5075771660453097,8.523016235639494,0.090632751311878,78.5,3.0,1.0,0.8187344973762439,7.833063134334892,0.0,78.60000000000001,5.4,1.0,0.3744772567239998,8.369099214167937,0.0457153991280434,61.33333333333333,2.0,1.0,0.9085692017439132,7.490378025295899,0.0,50.0,50.0,1.0,1.0,1.0,1,1.0,1.0,1.0
6,1,2,1,1,0.7,50.0,1,149.20000000000002,5.8,0.5269205999929965,1.0,9.979022840524864,0.0481858487709093,180.0,6.0,1.0,0.9036283024581812,9.848584039786076,3.8072566049163625,174.6,5.9,0.779577966743962,1.0,10.475472668493843,0.1909955678617378,190.7,6.6,0.8726696214255081,1.0,10.13695809525566,8.427013296414787,164.86666666666665,5.6,0.7269510828077195,1.0,10.370472925892638,0.234182172989902,206.4,6.266666666666667,1.0,0.882908913505049,10.363510703172668,10.355999024277768,50.0,50.0,0.0,0.0,0.0,1,0.3333333333333333,0.16666666666666666,0.25
7,0,0,36,2,0.9090909090909092,40.0,0,175.40000000000003,5.4,0.6507526469511917,1.0,9.114582581386925,0.6967038043030982,89.0,7.0,0.651648097848451,1.0,7.380648519450443,0.8258240489242255,145.9,6.000000000000001,0.8334391194376516,1.0,8.641940456998745,0.1951720740511824,73.69999999999999,5.5,0.9349426419829392,1.0,6.971515582632901,0.9674713209914696,142.6,5.0666666666666655,0.596618305468313,1.0,8.251616298515918,0.4285311967745677,77.33333333333333,4.266666666666667,1.0,0.8571562677418108,6.608010542646067,0.9285781338709054,40.0,40.0,1.25,1.5,1.5,0,4.0,6.0,6.0
8,1,1,58,2,0.2727272727272727,0.0,0,27.4,2.2,1.0,0.0100517755681854,2.742955391249579,0.0,66.80000000000001,1.4,1.0,0.0,3.9033374547280655,0.0,44.0,2.2,1.0,0.0278278252831094,2.782273160339769,1.6060652227272945,73.8,2.3,1.0,0.1969673886363527,4.168091741412725,1.7954510829545292,32.26666666666667,2.533333333333333,1.0,0.0960012429041043,2.7818292747083357,1.7085984947542925,76.33333333333333,1.9333333333333336,1.0,0.1457007526228536,3.686139368984078,1.7185511289342807,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
9,1,0,25,1,0.3478260869565217,0.0,1,98.8,6.4,0.6996416154686884,1.0,8.318590613109102,0.4756367771743561,203.2,7.0,1.0,0.7621816114128219,10.21582264456014,4.405454028532055,97.3,6.0,0.9170452071547176,1.0,8.00732413600504,0.1077807979265477,186.80000000000004,7.399999999999999,0.9568876808293808,1.0,10.511933878920484,6.849106882902833,109.46666666666668,5.066666666666666,0.6877505055147637,1.0,8.317375033704254,0.1883225600750521,184.2666666666667,7.2,0.9246709759699792,1.0,10.668901634993796,6.736348415894927,0.0,0.0,0.0,0.0,0.0,1,0.8,0.7142857142857143,0.7142857142857143
